,Current epoch time,Current epoch time.1,Open,High,Low,Close,volume,Date,Time,EMA_fast,EMA_slow,RSI,TR,ATR,Upper_band,Lower_band,Buy_Signal,Sell_Signal,Returns
85,2023-10-03 10:40:00+05:30,1696309800,43.45,45.1,42.75,43.9,558150,2023-10-03,10:40:00,41.92100000000001,,42.40196078431372,2.3500000000000014,2.5714285714285707,37.385714285714286,50.46428571428571,0,0,0.0
86,2023-10-03 10:41:00+05:30,1696309860,43.8,44.4,41.85,43.9,341800,2023-10-03,10:41:00,41.907,,43.46733668341708,2.549999999999997,2.5249999999999995,36.825,49.425,0,0,0.0
87,2023-10-03 10:42:00+05:30,1696309920,44.15,44.15,41.8,42.0,278850,2023-10-03,10:42:00,41.876,,36.626506024096386,2.3500000000000014,2.564285714285714,36.457142857142856,49.49285714285714,0,0,0.0
88,2023-10-03 10:43:00+05:30,1696309980,42.2,42.4,40.6,41.2,288200,2023-10-03,10:43:00,41.833,,32.281553398058264,1.7999999999999972,2.610714285714285,34.56785714285714,48.43214285714286,0,0,0.0
89,2023-10-03 10:44:00+05:30,1696310040,40.8,41.6,39.65,39.9,339500,2023-10-03,10:44:00,41.827000000000005,,30.504587155963307,1.9500000000000028,2.610714285714285,33.767857142857146,47.482142857142854,0,0,0.0
90,2023-10-03 10:45:00+05:30,1696310100,39.75,39.85,38.85,39.05,426050,2023-10-03,10:45:00,41.795,,32.518337408312945,1.0499999999999972,2.4107142857142847,32.61785714285715,46.082142857142856,0,0,0.0
91,2023-10-03 10:46:00+05:30,1696310160,39.05,39.3,37.5,38.6,503850,2023-10-03,10:46:00,41.74,,27.664974619289353,1.7999999999999972,2.3821428571428562,32.153571428571425,44.64642857142857,0,0,0.0
92,2023-10-03 10:47:00+05:30,1696310220,38.8,40.35,38.3,39.65,318300,2023-10-03,10:47:00,41.706,,31.325301204819283,2.0500000000000043,2.428571428571428,33.06428571428572,45.58571428571428,0,0,0.0
93,2023-10-03 10:48:00+05:30,1696310280,39.55,39.55,37.2,38.75,361600,2023-10-03,10:48:00,41.653999999999996,,34.94623655913978,2.4499999999999957,2.3678571428571424,32.44642857142857,44.30357142857143,0,0,0.0
94,2023-10-03 10:49:00+05:30,1696310340,38.6,39.0,38.0,38.4,266750,2023-10-03,10:49:00,41.61,,30.252100840336126,1.0,2.285714285714285,32.142857142857146,44.857142857142854,0,0,0.0
95,2023-10-03 10:50:00+05:30,1696310400,38.3,39.0,38.3,38.35,183400,2023-10-03,10:50:00,41.619,,43.54838709677419,0.7000000000000028,1.9357142857142857,33.19285714285714,44.107142857142854,0,0,0.0
96,2023-10-03 10:51:00+05:30,1696310460,38.4,41.7,38.4,41.3,513150,2023-10-03,10:51:00,41.68899999999999,,55.85284280936456,3.3500000000000014,1.9892857142857143,35.73214285714286,44.36785714285714,0,0,0.0
97,2023-10-03 10:52:00+05:30,1696310520,41.45,42.4,41.15,41.15,438350,2023-10-03,10:52:00,41.749,,49.248120300751864,1.25,1.9499999999999997,36.55,47.0,0,0,0.0
98,2023-10-03 10:53:00+05:30,1696310580,41.4,41.45,39.6,40.75,299350,2023-10-03,10:53:00,41.82,,39.406779661016934,1.8500000000000014,1.8928571428571428,35.77142857142857,45.27857142857143,0,0,0.0
99,2023-10-03 10:54:00+05:30,1696310640,40.75,41.7,40.6,41.5,194300,2023-10-03,10:54:00,41.901,,39.915966386554615,1.1000000000000014,1.8035714285714286,36.28928571428572,46.010714285714286,0,0,0.0
100,2023-10-03 10:55:00+05:30,1696310700,41.55,43.3,40.5,43.15,350750,2023-10-03,10:55:00,42.03099999999999,,47.23247232472325,2.799999999999997,1.8214285714285714,37.83571428571428,45.964285714285715,0,0,0.0
101,2023-10-03 10:56:00+05:30,1696310760,43.25,43.25,40.5,42.75,427000,2023-10-03,10:56:00,42.135999999999996,,53.11203319502075,2.75,1.8499999999999999,37.7,46.05,0,0,0.0
102,2023-10-03 10:57:00+05:30,1696310820,42.2,42.2,41.55,41.8,176450,2023-10-03,10:57:00,42.2,,52.4590163934426,1.2000000000000028,1.8071428571428574,36.77857142857143,46.97142857142857,0,0,0.0
103,2023-10-03 10:58:00+05:30,1696310880,41.65,42.05,40.4,40.65,192650,2023-10-03,10:58:00,42.251000000000005,,53.11203319502075,1.6499999999999986,1.7857142857142858,36.692857142857136,45.75714285714285,0,0,0.0
104,2023-10-03 10:59:00+05:30,1696310940,40.75,42.0,40.7,41.6,193250,2023-10-03,10:59:00,42.328,,60.49382716049386,1.3500000000000014,1.8071428571428574,36.57857142857143,46.121428571428574,0,0,0.0
105,2023-10-03 11:00:00+05:30,1696311000,41.75,42.45,40.25,40.55,264900,2023-10-03,11:00:00,42.381,,57.6470588235294,2.200000000000003,1.8357142857142865,36.94285714285714,45.75714285714286,0,0,0.0
106,2023-10-03 11:01:00+05:30,1696311060,40.75,40.9,39.1,39.85,352900,2023-10-03,11:01:00,42.391999999999996,,50.80645161290324,1.7999999999999972,1.817857142857143,35.44642857142857,44.55357142857143,0,0,0.0
