,Timestamp,Open,High,Low,Close,Volume,Timestamp2,HMA,TEMA,TilsonT3,SecondTilsonT3,col,col2
106,1704781200,21706.3,21709.2,21692.15,21692.2,0,2024-01-09 11:50:00+05:30,21696.123696969702,21706.16037946266,21657.69515472902,21611.303661068385,red,red
107,1704781500,21693.7,21702.15,21690.1,21699.3,0,2024-01-09 11:55:00+05:30,21696.999870129875,21706.110927484533,21660.778406915408,21613.472545041688,lime,lime
108,1704781800,21700.3,21706.25,21691.25,21695.2,0,2024-01-09 12:00:00+05:30,21697.59789177489,21704.812459489654,21663.6826405669,21615.674149461083,lime,lime
109,1704782100,21695.2,21700.5,21684.8,21684.8,0,2024-01-09 12:05:00+05:30,21696.836285714286,21700.875220078306,21666.375910116127,21617.89546048308,lime,lime
110,1704782400,21686.2,21694.4,21683.55,21690.4,0,2024-01-09 12:10:00+05:30,21695.86632034632,21698.954917671035,21668.85759969048,21620.127154307313,lime,lime
111,1704782700,21691.6,21707.35,21688.25,21703.4,0,2024-01-09 12:15:00+05:30,21696.002038961036,21700.631993833886,21671.168521319072,21622.36591734423,red,red
112,1704783000,21703.9,21707.45,21694.65,21703.9,0,2024-01-09 12:20:00+05:30,21696.955246753245,21702.022251476836,21673.338673446502,21624.608313884986,lime,lime
113,1704783300,21704.8,21712.8,21703.95,21705.6,0,2024-01-09 12:25:00+05:30,21698.669294372296,21703.49025806228,21675.393366473367,21626.851337915683,lime,lime
114,1704783600,21705.4,21710.65,21697.95,21701.9,0,2024-01-09 12:30:00+05:30,21700.209883116884,21703.622999382416,21677.33862103183,21629.090230687212,lime,lime
115,1704783900,21702.7,21724.45,21700.1,21704.8,0,2024-01-09 12:35:00+05:30,21701.62545887446,21704.379464339167,21679.18687819971,21631.32152892619,lime,lime
116,1704784200,21705.4,21709.95,21703.55,21704.1,0,2024-01-09 12:40:00+05:30,21702.97960606061,21704.719144821116,21680.944068552923,21633.541429757654,lime,lime
117,1704784500,21704.9,21712.95,21702.8,21708.8,0,2024-01-09 12:45:00+05:30,21704.688238095237,21706.12369492137,21682.62720488903,21635.748063400624,lime,lime
118,1704784800,21708.5,21713.35,21706.2,21710.0,0,2024-01-09 12:50:00+05:30,21706.71628571428,21707.49542754283,21684.249715933056,21637.93974558948,lime,lime
119,1704785100,21710.9,21720.1,21708.1,21715.2,0,2024-01-09 12:55:00+05:30,21709.289043290042,21709.87811066576,21685.833516394603,21640.116557179983,lime,lime
120,1704785400,21714.9,21717.9,21709.7,21713.7,0,2024-01-09 13:00:00+05:30,21711.686406926405,21711.348167872162,21687.385874281565,21642.2773329991,lime,lime
121,1704785700,21714.4,21720.7,21712.2,21718.4,0,2024-01-09 13:05:00+05:30,21714.08529004329,21713.676726319776,21688.922002614578,21644.42239784066,lime,lime
122,1704786000,21718.4,21719.6,21703.7,21706.3,0,2024-01-09 13:10:00+05:30,21715.017627705627,21712.34826138,21690.413856216746,21646.546604150877,lime,lime
123,1704786300,21706.8,21714.2,21703.15,21705.7,0,2024-01-09 13:15:00+05:30,21714.750181818185,21711.014290363197,21691.840131671364,21648.64509346004,lime,lime
124,1704786600,21707.2,21710.55,21695.95,21699.3,0,2024-01-09 13:20:00+05:30,21713.074017316023,21708.18602463249,21693.16873376455,21650.711022886262,lime,lime
125,1704786900,21699.9,21713.15,21699.95,21710.7,0,2024-01-09 13:25:00+05:30,21711.75608658009,21708.769076801902,21694.413084867472,21652.7431436934,lime,lime
126,1704787200,21710.8,21714.2,21703.75,21705.1,0,2024-01-09 13:30:00+05:30,21710.355303030305,21707.746738252194,21695.566896623037,21654.737954431534,lime,lime
127,1704787500,21705.9,21707.65,21694.3,21700.8,0,2024-01-09 13:35:00+05:30,21708.46134632035,21705.753632296102,21696.615656040187,21656.69074391309,red,red
128,1704787800,21701.6,21705.0,21698.15,21701.4,0,2024-01-09 13:40:00+05:30,21706.391034632034,21704.249377469136,21697.5545773021,21658.597869122903,red,red
129,1704788100,21702.3,21704.75,21694.5,21695.6,0,2024-01-09 13:45:00+05:30,21703.57752813853,21701.498393240825,21698.367509803196,21660.454074344038,red,red
130,1704788400,21696.3,21699.15,21682.35,21691.7,0,2024-01-09 13:50:00+05:30,21700.26555844156,21698.234044167242,21699.03770142634,21662.2536738183,red,red
131,1704788700,21691.5,21693.95,21671.85,21678.1,0,2024-01-09 13:55:00+05:30,21695.534216450218,21692.051775274464,21699.521892862158,21663.986903716934,red,red
132,1704789000,21678.8,21689.45,21675.4,21686.4,0,2024-01-09 14:00:00+05:30,21691.20077489178,21689.18746224139,21699.824828464465,21665.64961094934,red,red
133,1704789300,21687.2,21692.9,21663.35,21663.4,0,2024-01-09 14:05:00+05:30,21685.128930735933,21680.9444360477,21699.89341503013,21667.22979318749,red,red
134,1704789600,21663.8,21673.3,21649.0,21655.4,0,2024-01-09 14:10:00+05:30,21677.503380952385,21672.21705666587,21699.68384968389,21668.715361770825,red,red
